problem	theme_or_cluster	reason
evaluate-the-bracket-pairs-of-a-string	CLUSTER-appmismatch	Application type mismatch: The argument
falling-squares	CLUSTER-flow	Type mismatch
filling-bookcase-shelves	REGRESSION	Application type mismatch: The argument
filter-restaurants-by-vegan-friendly-price-and-distance	CLUSTER-appmismatch	Application type mismatch: The argument
find-a-corresponding-node-of-a-binary-tree-in-a-clone-of-that-tree	CLUSTER-appmismatch	Application type mismatch: The argument
find-all-anagrams-in-a-string	CLUSTER-synth	failed to synthesize instance of type class
find-all-people-with-secret	CLUSTER-flow	invalid reassignment, value has type
find-all-the-lonely-nodes	CLUSTER-synth	failed to synthesize instance of type class
find-and-replace-in-string	T8-method-optional-args	Function expected at
find-array-given-subset-sums	C4-library-gaps	Unknown identifier `SortedList`
find-beautiful-indices-in-the-given-array-i	CLUSTER-synth	failed to synthesize instance of type class
find-beautiful-indices-in-the-given-array-ii	CLUSTER-synth	failed to synthesize instance of type class
find-building-where-alice-and-bob-can-meet	CLUSTER-flow	Type mismatch
find-closest-node-to-given-two-nodes	CLUSTER-appmismatch	Application type mismatch: The argument
find-edges-in-shortest-paths	CLUSTER-synth	failed to synthesize instance of type class
find-if-path-exists-in-graph	CLUSTER-synth	typeclass instance problem is stuck
find-k-length-substrings-with-no-repeated-characters	CLUSTER-appmismatch	Application type mismatch: The argument
find-k-pairs-with-smallest-sums	CLUSTER-appmismatch	Application type mismatch: The argument
find-mode-in-binary-search-tree	CLUSTER-appmismatch	Application type mismatch: The argument
find-nearest-point-that-has-the-same-x-or-y-coordinate	REGRESSION	Application type mismatch: The argument
find-nearest-right-node-in-binary-tree	CLUSTER-synth	failed to synthesize instance of type class
find-permutation	REGRESSION	failed to synthesize instance of type class
find-shortest-path-with-k-hops	CLUSTER-synth	failed to synthesize instance of type class
find-smallest-letter-greater-than-target	CLUSTER-appmismatch	Application type mismatch: The argument
find-the-city-with-the-smallest-number-of-neighbors-at-a-threshold-distance	CLUSTER-appmismatch	Application type mismatch: The argument
find-the-closest-marked-node	CLUSTER-appmismatch	Application type mismatch: The argument
find-the-count-of-numbers-which-are-not-special	CLUSTER-synth	failed to synthesize instance of type class
find-the-duplicate-number	CLUSTER-appmismatch	Application type mismatch: The argument
find-the-grid-of-region-average	CLUSTER-flow	Type mismatch
find-the-index-of-permutation	CLUSTER-flow	Type mismatch
find-the-kth-largest-integer-in-the-array	T7-kwarg-in-spine	Invalid argument name `key` for function `heapq.pyNlargest`
find-the-largest-area-of-square-inside-two-rectangles	CLUSTER-synth	failed to synthesize instance of type class
find-the-longest-valid-obstacle-course-at-each-position	CLUSTER-flow	Type mismatch
find-the-maximum-divisibility-score	CLUSTER-appmismatch	Application type mismatch: The argument
find-the-maximum-length-of-a-good-subsequence-ii	CLUSTER-flow	Type mismatch
find-the-maximum-number-of-elements-in-subset	CLUSTER-synth	failed to synthesize instance of type class
find-the-median-of-the-uniqueness-array	CLUSTER-flow	invalid reassignment, value has type
find-the-minimum-and-maximum-number-of-nodes-between-critical-points	CLUSTER-appmismatch	Application type mismatch: The argument
find-the-number-of-distinct-colors-among-the-balls	CLUSTER-flow	invalid reassignment, value has type
find-the-number-of-good-pairs-ii	CLUSTER-synth	failed to synthesize instance of type class
find-the-number-of-ways-to-place-people-i	CLUSTER-appmismatch	Application type mismatch: The argument
find-the-number-of-ways-to-place-people-ii	CLUSTER-appmismatch	Application type mismatch: The argument
find-the-safest-path-in-a-grid	CLUSTER-appmismatch	Application type mismatch: The argument
find-the-smallest-divisor-given-a-threshold	CLUSTER-appmismatch	Application type mismatch: The argument
find-the-string-with-lcp	CLUSTER-appmismatch	Application type mismatch: The argument
find-the-xor-of-numbers-which-appear-twice	CLUSTER-synth	failed to synthesize instance of type class
find-two-non-overlapping-sub-arrays-each-with-target-sum	CLUSTER-appmismatch	Application type mismatch: The argument
find-xor-beauty-of-array	CLUSTER-synth	failed to synthesize instance of type class
find-xor-sum-of-all-pairs-bitwise-and	CLUSTER-synth	failed to synthesize instance of type class
finding-the-number-of-visible-mountains	CLUSTER-appmismatch	Application type mismatch: The argument
first-bad-version	CLUSTER-misc	Unknown identifier `isBadVersion`
form-largest-integer-with-digits-that-add-up-to-target	CLUSTER-synth	failed to synthesize instance of type class
fraction-to-recurring-decimal	CLUSTER-synth	failed to synthesize instance of type class
freedom-trail	CLUSTER-synth	failed to synthesize instance of type class
fruit-into-baskets	CLUSTER-flow	invalid reassignment, value has type
gcd-sort-of-an-array	C1-closure-recursion	Unknown identifier `find`
graph-connectivity-with-threshold	CLUSTER-appmismatch	Application type mismatch: The argument
greatest-common-divisor-traversal	CLUSTER-synth	typeclass instance problem is stuck
greatest-sum-divisible-by-three	CLUSTER-synth	failed to synthesize instance of type class
grid-illumination	CLUSTER-appmismatch	Application type mismatch: The argument
group-the-people-given-the-group-size-they-belong-to	REGRESSION	failed to synthesize instance of type class
height-of-binary-tree-after-subtree-removal-queries	CLUSTER-synth	typeclass instance problem is stuck
height-of-special-binary-tree	CLUSTER-synth	failed to synthesize instance of type class
image-overlap	CLUSTER-synth	failed to synthesize instance of type class
increasing-order-search-tree	CLUSTER-misc	don't know how to synthesize implicit argument `α`
insert-greatest-common-divisors-in-linked-list	CLUSTER-appmismatch	Application type mismatch: The argument
insert-interval	T10-misc-quickwins	ambiguous identifier ``insert`, possible interpretations: [Insert.insert, insert]
insertion-sort-list	CLUSTER-synth	failed to synthesize instance of type class
intersection-of-two-linked-lists	CLUSTER-synth	failed to synthesize instance of type class
interval-list-intersections	CLUSTER-appmismatch	Application type mismatch: The argument
intervals-between-identical-elements	REGRESSION	failed to synthesize instance of type class
invalid-transactions	CLUSTER-appmismatch	Application type mismatch: The argument
jump-game-iv	CLUSTER-appmismatch	Application type mismatch: The argument
k-closest-points-to-origin	CLUSTER-appmismatch	Application type mismatch: The argument
k-empty-slots	CLUSTER-synth	failed to synthesize instance of type class
k-highest-ranked-items-within-a-price-range	CLUSTER-synth	failed to synthesize instance of type class
k-th-smallest-prime-fraction	CLUSTER-misc	Ambiguous term
koko-eating-bananas	CLUSTER-appmismatch	Application type mismatch: The argument
kth-smallest-amount-with-single-denomination-combination	CLUSTER-appmismatch	Application type mismatch: The argument
kth-smallest-product-of-two-sorted-arrays	T10-misc-quickwins	overloaded, errors
largest-bst-subtree	CLUSTER-flow	Type mismatch
largest-component-size-by-common-factor	CLUSTER-misc	Unknown constant `UnionFind.find`
largest-multiple-of-three	CLUSTER-synth	failed to synthesize instance of type class
largest-number-at-least-twice-of-others	CLUSTER-appmismatch	Application type mismatch: The argument
largest-sum-of-averages	CLUSTER-appmismatch	Application type mismatch: The argument
leaf-similar-trees	CLUSTER-synth	failed to synthesize instance of type class
length-of-the-longest-subsequence-that-sums-to-target	CLUSTER-appmismatch	Application type mismatch: The argument
letter-combinations-of-a-phone-number	CLUSTER-flow	Type mismatch
letter-tile-possibilities	CLUSTER-synth	failed to synthesize instance of type class
lexicographically-smallest-equivalent-string	REGRESSION	failed to synthesize instance of type class
line-reflection	CLUSTER-appmismatch	Application type mismatch: The argument
longest-common-suffix-queries	CLUSTER-flow	Type mismatch
longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit	C4-library-gaps	Unknown identifier `SortedList`
longest-happy-string	CLUSTER-appmismatch	Application type mismatch: The argument
longest-non-decreasing-subarray-from-two-arrays	CLUSTER-synth	failed to synthesize instance of type class
longest-substring-of-one-repeating-character	T10-misc-quickwins	ambiguous identifier ``max`, possible interpretations: [Max.max, max]
longest-substring-with-at-most-k-distinct-characters	CLUSTER-synth	failed to synthesize instance of type class
longest-substring-with-at-most-two-distinct-characters	CLUSTER-appmismatch	Application type mismatch: The argument
longest-univalue-path	REGRESSION	Application type mismatch: The argument
longest-word-in-dictionary	CLUSTER-flow	invalid reassignment, value has type
longest-word-with-all-prefixes	CLUSTER-flow	Type mismatch
lowest-common-ancestor-of-a-binary-tree-ii	CLUSTER-misc	Unknown identifier `TreeNode`
lowest-common-ancestor-of-deepest-leaves	CLUSTER-synth	failed to synthesize instance of type class
magnetic-force-between-two-balls	CLUSTER-appmismatch	Application type mismatch: The argument
make-array-strictly-increasing	CLUSTER-synth	failed to synthesize instance of type class
make-string-a-subsequence-using-cyclic-increments	CLUSTER-synth	failed to synthesize instance of type class
make-the-xor-of-all-segments-equal-to-zero	CLUSTER-flow	Type mismatch
making-a-large-island	CLUSTER-flow	Invalid match expression: The type of pattern variable 'cnt' contains metavariables:
making-file-names-unique	CLUSTER-appmismatch	Application type mismatch: The argument
max-dot-product-of-two-subsequences	CLUSTER-appmismatch	Application type mismatch: The argument
maximize-consecutive-elements-in-an-array-after-modification	CLUSTER-flow	Type mismatch
maximize-distance-to-closest-person	CLUSTER-synth	failed to synthesize instance of type class
maximize-number-of-nice-divisors	T8-method-optional-args	Function expected at
maximize-the-profit-as-the-salesman	CLUSTER-appmismatch	Application type mismatch: The argument
maximum-average-pass-ratio	CLUSTER-appmismatch	Application type mismatch: The argument
maximum-average-subarray-ii	CLUSTER-flow	invalid reassignment, value has type
maximum-average-subtree	CLUSTER-appmismatch	Application type mismatch: The argument
maximum-balanced-subsequence-sum	CLUSTER-flow	Type mismatch
maximum-binary-tree	CLUSTER-flow	Type mismatch
maximum-coins-heroes-can-collect	T7-kwarg-in-spine	Invalid argument name `key` for function `bisect.pyBisectRight`
maximum-cost-of-trip-with-k-highways	CLUSTER-appmismatch	Application type mismatch: The argument
maximum-difference-score-in-a-grid	REGRESSION	Application type mismatch: The argument
maximum-earnings-from-taxi	CLUSTER-appmismatch	Application type mismatch: The argument
maximum-elegance-of-a-k-length-subsequence	CLUSTER-appmismatch	Application type mismatch: The argument
maximum-fruits-harvested-after-at-most-k-steps	REGRESSION	Application type mismatch: The argument
maximum-gap	CLUSTER-synth	failed to synthesize instance of type class
maximum-genetic-difference-query	CLUSTER-flow	Type mismatch
maximum-length-of-pair-chain	CLUSTER-appmismatch	Application type mismatch: The argument
maximum-length-of-semi-decreasing-subarrays	CLUSTER-appmismatch	Application type mismatch: The argument
maximum-level-sum-of-a-binary-tree	CLUSTER-misc	Unknown identifier `ans`
maximum-number-of-achievable-transfer-requests	REGRESSION	Application type mismatch: The argument
maximum-number-of-darts-inside-of-a-circular-dartboard	CLUSTER-appmismatch	Application type mismatch: The argument
maximum-number-of-events-that-can-be-attended-ii	CLUSTER-appmismatch	Application type mismatch: The argument
maximum-number-of-groups-entering-a-competition	T7-kwarg-in-spine	Invalid argument name `key` for function `bisect.pyBisectRight`
maximum-number-of-intersections-on-the-chart	CLUSTER-synth	failed to synthesize instance of type class
maximum-number-of-jumps-to-reach-the-last-index	CLUSTER-appmismatch	Application type mismatch: The argument
maximum-number-of-points-with-cost	CLUSTER-flow	invalid reassignment, value has type
maximum-number-of-visible-points	CLUSTER-appmismatch	Application type mismatch: The argument
maximum-performance-of-a-team	CLUSTER-appmismatch	Application type mismatch: The argument
maximum-points-inside-the-square	CLUSTER-synth	failed to synthesize instance of type class
maximum-price-to-fill-a-bag	CLUSTER-appmismatch	Application type mismatch: The argument
maximum-prime-difference	CLUSTER-misc	Failed to infer type of binder `i`
maximum-profit-in-job-scheduling	CLUSTER-synth	failed to synthesize instance of type class
maximum-profitable-triplets-with-increasing-prices-ii	REGRESSION	failed to synthesize instance of type class
maximum-rows-covered-by-columns	T10-misc-quickwins	Unknown identifier `or_`
maximum-score-after-applying-operations-on-a-tree	CLUSTER-flow	Type mismatch
maximum-score-of-a-node-sequence	T7-kwarg-in-spine	Invalid argument name `key` for function `heapq.pyNlargest`
maximum-score-words-formed-by-letters	CLUSTER-synth	failed to synthesize instance of type class
maximum-square-area-by-removing-fences-from-a-field	CLUSTER-appmismatch	Application type mismatch: The argument
maximum-strength-of-k-disjoint-subarrays	CLUSTER-synth	failed to synthesize instance of type class
maximum-strong-pair-xor-ii	CLUSTER-flow	Type mismatch
maximum-students-taking-exam	CLUSTER-synth	typeclass instance problem is stuck
maximum-sum-bst-in-binary-tree	CLUSTER-flow	Type mismatch
maximum-sum-circular-subarray	CLUSTER-appmismatch	Application type mismatch: The argument
maximum-sum-of-3-non-overlapping-subarrays	CLUSTER-flow	invalid reassignment, value has type
maximum-sum-of-almost-unique-subarray	CLUSTER-flow	invalid reassignment, value has type
maximum-sum-of-distinct-subarrays-with-length-k	CLUSTER-flow	invalid reassignment, value has type
maximum-sum-queries	CLUSTER-flow	Type mismatch
maximum-total-damage-with-spell-casting	CLUSTER-synth	typeclass instance problem is stuck
maximum-units-on-a-truck	CLUSTER-synth	failed to synthesize instance of type class
maximum-vacation-days	CLUSTER-synth	failed to synthesize instance of type class
maximum-white-tiles-covered-by-a-carpet	REGRESSION	Application type mismatch: The argument
maximum-width-of-binary-tree	CLUSTER-synth	failed to synthesize instance of type class
maximum-xor-after-operations	T10-misc-quickwins	Unknown identifier `or_`
maximum-xor-for-each-query	CLUSTER-synth	failed to synthesize instance of type class
maximum-xor-of-two-non-overlapping-subtrees	CLUSTER-appmismatch	Application type mismatch: The argument
maximum-xor-of-two-numbers-in-an-array	CLUSTER-flow	Type mismatch
maximum-xor-with-an-element-from-array	CLUSTER-flow	Type mismatch
meeting-rooms-ii	CLUSTER-misc	invalid binder name `Libraries.math.pyMathER`, it must be atomic
merge-in-between-linked-lists	CLUSTER-flow	invalid reassignment, value has type
merge-k-sorted-lists	T10-misc-quickwins	Unknown identifier `setattr`
merge-nodes-in-between-zeros	CLUSTER-flow	invalid reassignment, value has type
merge-similar-items	CLUSTER-appmismatch	Application type mismatch: The argument
merge-strings-alternately	CLUSTER-appmismatch	Application type mismatch: The argument
middle-of-the-linked-list	CLUSTER-synth	failed to synthesize instance of type class
min-cost-to-connect-all-points	CLUSTER-appmismatch	Application type mismatch: The argument
minimize-hamming-distance-after-swap-operations	C1-closure-recursion	Unknown identifier `find`
minimize-manhattan-distances	C4-library-gaps	Unknown identifier `SortedList`
minimize-max-distance-to-gas-station	CLUSTER-appmismatch	Application type mismatch: The argument
minimize-maximum-pair-sum-in-array	CLUSTER-synth	failed to synthesize instance of type class
minimize-result-by-adding-parentheses-to-expression	CLUSTER-flow	Invalid match expression: The type of pattern variable 'ans' contains metavariables:
minimize-rounding-error-to-meet-target	CLUSTER-appmismatch	Application type mismatch: The argument
minimize-the-maximum-difference-of-pairs	CLUSTER-appmismatch	Application type mismatch: The argument
minimum-absolute-difference-between-elements-with-constraint	C4-library-gaps	Unknown identifier `SortedList`
minimum-area-rectangle	CLUSTER-synth	failed to synthesize instance of type class
minimum-area-rectangle-ii	CLUSTER-appmismatch	Application type mismatch: The argument
minimum-changes-to-make-k-semi-palindromes	CLUSTER-synth	failed to synthesize instance of type class
minimum-cost-of-a-path-with-special-roads	CLUSTER-appmismatch	Application type mismatch: The argument
minimum-cost-to-buy-apples	CLUSTER-appmismatch	Application type mismatch: The argument
minimum-cost-to-change-the-final-value-of-expression	CLUSTER-synth	failed to synthesize instance of type class
minimum-cost-to-connect-two-groups-of-points	CLUSTER-synth	failed to synthesize instance of type class
minimum-cost-to-convert-string-i	CLUSTER-synth	failed to synthesize instance of type class
minimum-cost-to-convert-string-ii	CLUSTER-flow	Type mismatch
minimum-cost-to-hire-k-workers	CLUSTER-appmismatch	Application type mismatch: The argument
minimum-cost-to-make-array-equalindromic	CLUSTER-misc	don't know how to synthesize implicit argument `α`
minimum-cost-to-merge-stones	CLUSTER-synth	failed to synthesize instance of type class
minimum-cost-to-reach-city-with-discounts	CLUSTER-synth	failed to synthesize instance of type class
minimum-cost-to-reach-destination-in-time	CLUSTER-synth	failed to synthesize instance of type class
minimum-cost-tree-from-leaf-values	CLUSTER-appmismatch	Application type mismatch: The argument
minimum-cost-walk-in-weighted-graph	CLUSTER-appmismatch	Application type mismatch: The argument
minimum-cuts-to-divide-a-circle	REGRESSION	Application type mismatch: The argument
minimum-degree-of-a-connected-trio-in-a-graph	T10-misc-quickwins	ambiguous identifier ``min`, possible interpretations: [Min.min, min]
minimum-difficulty-of-a-job-schedule	CLUSTER-appmismatch	Application type mismatch: The argument
minimum-distance-to-type-a-word-using-two-fingers	CLUSTER-synth	failed to synthesize instance of type class
minimum-domino-rotations-for-equal-row	CLUSTER-synth	failed to synthesize instance of type class
minimum-edge-weight-equilibrium-queries-in-a-tree	CLUSTER-synth	failed to synthesize instance of type class
minimum-index-of-a-valid-split	CLUSTER-appmismatch	Application type mismatch: The argument
minimum-initial-energy-to-finish-tasks	CLUSTER-appmismatch	Application type mismatch: The argument
minimum-interval-to-include-each-query	CLUSTER-synth	failed to synthesize instance of type class
minimum-jumps-to-reach-home	CLUSTER-flow	mutable variable `k` cannot be shadowed
minimum-limit-of-balls-in-a-bag	CLUSTER-appmismatch	Application type mismatch: The argument
minimum-lines-to-represent-a-line-chart	REGRESSION	Application type mismatch: The argument
minimum-money-required-before-transactions	CLUSTER-appmismatch	Application type mismatch: The argument
minimum-moves-to-move-a-box-to-their-target-location	CLUSTER-flow	mutable variable `b` cannot be shadowed
minimum-moves-to-pick-k-ones	CLUSTER-synth	typeclass instance problem is stuck
minimum-number-of-arrows-to-burst-balloons	CLUSTER-appmismatch	Application type mismatch: The argument
minimum-number-of-days-to-make-m-bouquets	CLUSTER-appmismatch	Application type mismatch: The argument
minimum-number-of-frogs-croaking	CLUSTER-appmismatch	Application type mismatch: The argument
minimum-number-of-operations-to-make-array-xor-equal-to-k	CLUSTER-synth	failed to synthesize instance of type class
minimum-number-of-operations-to-satisfy-conditions	CLUSTER-synth	failed to synthesize instance of type class
minimum-number-of-vertices-to-reach-all-nodes	CLUSTER-appmismatch	Application type mismatch: The argument
minimum-operations-to-halve-array-sum	CLUSTER-flow	Type mismatch
minimum-operations-to-make-a-subsequence	CLUSTER-flow	Type mismatch
minimum-path-cost-in-a-grid	CLUSTER-flow	invalid reassignment, value has type
minimum-score-after-removals-on-a-tree	CLUSTER-flow	Invalid match expression: The type of pattern variable 's1' contains metavariables:
minimum-skips-to-arrive-at-meeting-on-time	CLUSTER-synth	failed to synthesize instance of type class
minimum-space-wasted-from-packaging	T7-kwarg-in-spine	Invalid argument name `lo` for function `bisect.pyBisectRight`
minimum-speed-to-arrive-on-time	CLUSTER-appmismatch	Application type mismatch: The argument
minimum-sum-of-mountain-triplets-i	CLUSTER-appmismatch	Application type mismatch: The argument
